TiempoKey;Fecha;Mes;Dia;Anio
1;01-01-2017;1;1;2017
2;02-01-2017;1;2;2017
3;03-01-2017;1;3;2017
4;04-01-2017;1;4;2017
5;05-01-2017;1;5;2017
6;06-01-2017;1;6;2017
7;07-01-2017;1;7;2017
8;08-01-2017;1;8;2017
9;09-01-2017;1;9;2017
10;10-01-2017;1;10;2017
11;11-01-2017;1;11;2017
12;12-01-2017;1;12;2017
13;13-01-2017;1;13;2017
14;14-01-2017;1;14;2017
15;15-01-2017;1;15;2017
16;16-01-2017;1;16;2017
17;17-01-2017;1;17;2017
18;18-01-2017;1;18;2017
19;19-01-2017;1;19;2017
20;20-01-2017;1;20;2017
21;21-01-2017;1;21;2017
22;22-01-2017;1;22;2017
23;23-01-2017;1;23;2017
24;24-01-2017;1;24;2017
25;25-01-2017;1;25;2017
26;26-01-2017;1;26;2017
27;27-01-2017;1;27;2017
28;28-01-2017;1;28;2017
29;29-01-2017;1;29;2017
30;30-01-2017;1;30;2017
31;31-01-2017;1;31;2017
101;01-02-2017;2;1;2017
102;02-02-2017;2;2;2017
103;03-02-2017;2;3;2017
104;04-02-2017;2;4;2017
105;05-02-2017;2;5;2017
106;06-02-2017;2;6;2017
107;07-02-2017;2;7;2017
108;08-02-2017;2;8;2017
109;09-02-2017;2;9;2017
110;10-02-2017;2;10;2017
111;11-02-2017;2;11;2017
112;12-02-2017;2;12;2017
113;13-02-2017;2;13;2017
114;14-02-2017;2;14;2017
115;15-02-2017;2;15;2017
116;16-02-2017;2;16;2017
117;17-02-2017;2;17;2017
118;18-02-2017;2;18;2017
119;19-02-2017;2;19;2017
120;20-02-2017;2;20;2017
121;21-02-2017;2;21;2017
122;22-02-2017;2;22;2017
123;23-02-2017;2;23;2017
124;24-02-2017;2;24;2017
125;25-02-2017;2;25;2017
126;26-02-2017;2;26;2017
127;27-02-2017;2;27;2017
128;28-02-2017;2;28;2017
201;01-03-2017;3;1;2017
202;02-03-2017;3;2;2017
203;03-03-2017;3;3;2017
204;04-03-2017;3;4;2017
205;05-03-2017;3;5;2017
206;06-03-2017;3;6;2017
207;07-03-2017;3;7;2017
208;08-03-2017;3;8;2017
209;09-03-2017;3;9;2017
210;10-03-2017;3;10;2017
211;11-03-2017;3;11;2017
212;12-03-2017;3;12;2017
213;13-03-2017;3;13;2017
214;14-03-2017;3;14;2017
215;15-03-2017;3;15;2017
216;16-03-2017;3;16;2017
217;17-03-2017;3;17;2017
218;18-03-2017;3;18;2017
219;19-03-2017;3;19;2017
220;20-03-2017;3;20;2017
221;21-03-2017;3;21;2017
222;22-03-2017;3;22;2017
223;23-03-2017;3;23;2017
224;24-03-2017;3;24;2017
225;25-03-2017;3;25;2017
226;26-03-2017;3;26;2017
227;27-03-2017;3;27;2017
228;28-03-2017;3;28;2017
229;29-03-2017;3;29;2017
230;30-03-2017;3;30;2017
231;31-03-2017;3;31;2017
301;01-04-2017;4;1;2017
302;02-04-2017;4;2;2017
303;03-04-2017;4;3;2017
304;04-04-2017;4;4;2017
305;05-04-2017;4;5;2017
306;06-04-2017;4;6;2017
307;07-04-2017;4;7;2017
308;08-04-2017;4;8;2017
309;09-04-2017;4;9;2017
310;10-04-2017;4;10;2017
311;11-04-2017;4;11;2017
312;12-04-2017;4;12;2017
313;13-04-2017;4;13;2017
314;14-04-2017;4;14;2017
315;15-04-2017;4;15;2017
316;16-04-2017;4;16;2017
317;17-04-2017;4;17;2017
318;18-04-2017;4;18;2017
319;19-04-2017;4;19;2017
320;20-04-2017;4;20;2017
321;21-04-2017;4;21;2017
322;22-04-2017;4;22;2017
323;23-04-2017;4;23;2017
324;24-04-2017;4;24;2017
325;25-04-2017;4;25;2017
326;26-04-2017;4;26;2017
327;27-04-2017;4;27;2017
328;28-04-2017;4;28;2017
329;29-04-2017;4;29;2017
330;30-04-2017;4;30;2017
401;01-05-2017;5;1;2017
402;02-05-2017;5;2;2017
403;03-05-2017;5;3;2017
404;04-05-2017;5;4;2017
405;05-05-2017;5;5;2017
406;06-05-2017;5;6;2017
407;07-05-2017;5;7;2017
408;08-05-2017;5;8;2017
409;09-05-2017;5;9;2017
410;10-05-2017;5;10;2017
411;11-05-2017;5;11;2017
412;12-05-2017;5;12;2017
413;13-05-2017;5;13;2017
414;14-05-2017;5;14;2017
415;15-05-2017;5;15;2017
416;16-05-2017;5;16;2017
417;17-05-2017;5;17;2017
418;18-05-2017;5;18;2017
419;19-05-2017;5;19;2017
420;20-05-2017;5;20;2017
421;21-05-2017;5;21;2017
422;22-05-2017;5;22;2017
423;23-05-2017;5;23;2017
424;24-05-2017;5;24;2017
425;25-05-2017;5;25;2017
426;26-05-2017;5;26;2017
427;27-05-2017;5;27;2017
428;28-05-2017;5;28;2017
429;29-05-2017;5;29;2017
430;30-05-2017;5;30;2017
431;31-05-2017;5;31;2017
501;01-06-2017;6;1;2017
502;02-06-2017;6;2;2017
503;03-06-2017;6;3;2017
504;04-06-2017;6;4;2017
505;05-06-2017;6;5;2017
506;06-06-2017;6;6;2017
507;07-06-2017;6;7;2017
508;08-06-2017;6;8;2017
509;09-06-2017;6;9;2017
510;10-06-2017;6;10;2017
511;11-06-2017;6;11;2017
512;12-06-2017;6;12;2017
513;13-06-2017;6;13;2017
514;14-06-2017;6;14;2017
515;15-06-2017;6;15;2017
516;16-06-2017;6;16;2017
517;17-06-2017;6;17;2017
518;18-06-2017;6;18;2017
519;19-06-2017;6;19;2017
520;20-06-2017;6;20;2017
521;21-06-2017;6;21;2017
522;22-06-2017;6;22;2017
523;23-06-2017;6;23;2017
524;24-06-2017;6;24;2017
525;25-06-2017;6;25;2017
526;26-06-2017;6;26;2017
527;27-06-2017;6;27;2017
528;28-06-2017;6;28;2017
529;29-06-2017;6;29;2017
530;30-06-2017;6;30;2017
601;01-07-2017;7;1;2017
602;02-07-2017;7;2;2017
603;03-07-2017;7;3;2017
604;04-07-2017;7;4;2017
605;05-07-2017;7;5;2017
606;06-07-2017;7;6;2017
607;07-07-2017;7;7;2017
608;08-07-2017;7;8;2017
609;09-07-2017;7;9;2017
610;10-07-2017;7;10;2017
611;11-07-2017;7;11;2017
612;12-07-2017;7;12;2017
613;13-07-2017;7;13;2017
614;14-07-2017;7;14;2017
615;15-07-2017;7;15;2017
616;16-07-2017;7;16;2017
617;17-07-2017;7;17;2017
618;18-07-2017;7;18;2017
619;19-07-2017;7;19;2017
620;20-07-2017;7;20;2017
621;21-07-2017;7;21;2017
622;22-07-2017;7;22;2017
623;23-07-2017;7;23;2017
624;24-07-2017;7;24;2017
625;25-07-2017;7;25;2017
626;26-07-2017;7;26;2017
627;27-07-2017;7;27;2017
628;28-07-2017;7;28;2017
629;29-07-2017;7;29;2017
630;30-07-2017;7;30;2017
631;31-07-2017;7;31;2017
701;01-08-2017;8;1;2017
702;02-08-2017;8;2;2017
703;03-08-2017;8;3;2017
704;04-08-2017;8;4;2017
705;05-08-2017;8;5;2017
706;06-08-2017;8;6;2017
707;07-08-2017;8;7;2017
708;08-08-2017;8;8;2017
709;09-08-2017;8;9;2017
710;10-08-2017;8;10;2017
711;11-08-2017;8;11;2017
712;12-08-2017;8;12;2017
713;13-08-2017;8;13;2017
714;14-08-2017;8;14;2017
715;15-08-2017;8;15;2017
716;16-08-2017;8;16;2017
717;17-08-2017;8;17;2017
718;18-08-2017;8;18;2017
719;19-08-2017;8;19;2017
720;20-08-2017;8;20;2017
721;21-08-2017;8;21;2017
722;22-08-2017;8;22;2017
723;23-08-2017;8;23;2017
724;24-08-2017;8;24;2017
725;25-08-2017;8;25;2017
726;26-08-2017;8;26;2017
727;27-08-2017;8;27;2017
728;28-08-2017;8;28;2017
729;29-08-2017;8;29;2017
730;30-08-2017;8;30;2017
731;31-08-2017;8;31;2017
801;01-09-2017;9;1;2017
802;02-09-2017;9;2;2017
803;03-09-2017;9;3;2017
804;04-09-2017;9;4;2017
805;05-09-2017;9;5;2017
806;06-09-2017;9;6;2017
807;07-09-2017;9;7;2017
808;08-09-2017;9;8;2017
809;09-09-2017;9;9;2017
810;10-09-2017;9;10;2017
811;11-09-2017;9;11;2017
812;12-09-2017;9;12;2017
813;13-09-2017;9;13;2017
814;14-09-2017;9;14;2017
815;15-09-2017;9;15;2017
816;16-09-2017;9;16;2017
817;17-09-2017;9;17;2017
818;18-09-2017;9;18;2017
819;19-09-2017;9;19;2017
820;20-09-2017;9;20;2017
821;21-09-2017;9;21;2017
822;22-09-2017;9;22;2017
823;23-09-2017;9;23;2017
824;24-09-2017;9;24;2017
825;25-09-2017;9;25;2017
826;26-09-2017;9;26;2017
827;27-09-2017;9;27;2017
828;28-09-2017;9;28;2017
829;29-09-2017;9;29;2017
830;30-09-2017;9;30;2017
901;01-10-2017;10;1;2017
902;02-10-2017;10;2;2017
903;03-10-2017;10;3;2017
904;04-10-2017;10;4;2017
905;05-10-2017;10;5;2017
906;06-10-2017;10;6;2017
907;07-10-2017;10;7;2017
908;08-10-2017;10;8;2017
909;09-10-2017;10;9;2017
910;10-10-2017;10;10;2017
911;11-10-2017;10;11;2017
912;12-10-2017;10;12;2017
913;13-10-2017;10;13;2017
914;14-10-2017;10;14;2017
915;15-10-2017;10;15;2017
916;16-10-2017;10;16;2017
917;17-10-2017;10;17;2017
918;18-10-2017;10;18;2017
919;19-10-2017;10;19;2017
920;20-10-2017;10;20;2017
921;21-10-2017;10;21;2017
922;22-10-2017;10;22;2017
923;23-10-2017;10;23;2017
924;24-10-2017;10;24;2017
925;25-10-2017;10;25;2017
926;26-10-2017;10;26;2017
927;27-10-2017;10;27;2017
928;28-10-2017;10;28;2017
929;29-10-2017;10;29;2017
930;30-10-2017;10;30;2017
931;31-10-2017;10;31;2017
1001;01-11-2017;11;1;2017
1002;02-11-2017;11;2;2017
1003;03-11-2017;11;3;2017
1004;04-11-2017;11;4;2017
1005;05-11-2017;11;5;2017
1006;06-11-2017;11;6;2017
1007;07-11-2017;11;7;2017
1008;08-11-2017;11;8;2017
1009;09-11-2017;11;9;2017
1010;10-11-2017;11;10;2017
1011;11-11-2017;11;11;2017
1012;12-11-2017;11;12;2017
1013;13-11-2017;11;13;2017
1014;14-11-2017;11;14;2017
1015;15-11-2017;11;15;2017
1016;16-11-2017;11;16;2017
1017;17-11-2017;11;17;2017
1018;18-11-2017;11;18;2017
1019;19-11-2017;11;19;2017
1020;20-11-2017;11;20;2017
1021;21-11-2017;11;21;2017
1022;22-11-2017;11;22;2017
1023;23-11-2017;11;23;2017
1024;24-11-2017;11;24;2017
1025;25-11-2017;11;25;2017
1026;26-11-2017;11;26;2017
1027;27-11-2017;11;27;2017
1028;28-11-2017;11;28;2017
1029;29-11-2017;11;29;2017
1030;30-11-2017;11;30;2017
1101;01-12-2017;12;1;2017
1102;02-12-2017;12;2;2017
1103;03-12-2017;12;3;2017
1104;04-12-2017;12;4;2017
1105;05-12-2017;12;5;2017
1106;06-12-2017;12;6;2017
1107;07-12-2017;12;7;2017
1108;08-12-2017;12;8;2017
1109;09-12-2017;12;9;2017
1110;10-12-2017;12;10;2017
1111;11-12-2017;12;11;2017
1112;12-12-2017;12;12;2017
1113;13-12-2017;12;13;2017
1114;14-12-2017;12;14;2017
1115;15-12-2017;12;15;2017
1116;16-12-2017;12;16;2017
1117;17-12-2017;12;17;2017
1118;18-12-2017;12;18;2017
1119;19-12-2017;12;19;2017
1120;20-12-2017;12;20;2017
1121;21-12-2017;12;21;2017
1122;22-12-2017;12;22;2017
1123;23-12-2017;12;23;2017
1124;24-12-2017;12;24;2017
1125;25-12-2017;12;25;2017
1126;26-12-2017;12;26;2017
1127;27-12-2017;12;27;2017
1128;28-12-2017;12;28;2017
1129;29-12-2017;12;29;2017
1130;30-12-2017;12;30;2017
1131;31-12-2017;12;31;2017
10001;01-01-2018;1;1;2018
10002;02-01-2018;1;2;2018
10003;03-01-2018;1;3;2018
10004;04-01-2018;1;4;2018
10005;05-01-2018;1;5;2018
10006;06-01-2018;1;6;2018
10007;07-01-2018;1;7;2018
10008;08-01-2018;1;8;2018
10009;09-01-2018;1;9;2018
10010;10-01-2018;1;10;2018
10011;11-01-2018;1;11;2018
10012;12-01-2018;1;12;2018
10013;13-01-2018;1;13;2018
10014;14-01-2018;1;14;2018
10015;15-01-2018;1;15;2018
10016;16-01-2018;1;16;2018
10017;17-01-2018;1;17;2018
10018;18-01-2018;1;18;2018
10019;19-01-2018;1;19;2018
10020;20-01-2018;1;20;2018
10021;21-01-2018;1;21;2018
10022;22-01-2018;1;22;2018
10023;23-01-2018;1;23;2018
10024;24-01-2018;1;24;2018
10025;25-01-2018;1;25;2018
10026;26-01-2018;1;26;2018
10027;27-01-2018;1;27;2018
10028;28-01-2018;1;28;2018
10029;29-01-2018;1;29;2018
10030;30-01-2018;1;30;2018
10031;31-01-2018;1;31;2018
10101;01-02-2018;2;1;2018
10102;02-02-2018;2;2;2018
10103;03-02-2018;2;3;2018
10104;04-02-2018;2;4;2018
10105;05-02-2018;2;5;2018
10106;06-02-2018;2;6;2018
10107;07-02-2018;2;7;2018
10108;08-02-2018;2;8;2018
10109;09-02-2018;2;9;2018
10110;10-02-2018;2;10;2018
10111;11-02-2018;2;11;2018
10112;12-02-2018;2;12;2018
10113;13-02-2018;2;13;2018
10114;14-02-2018;2;14;2018
10115;15-02-2018;2;15;2018
10116;16-02-2018;2;16;2018
10117;17-02-2018;2;17;2018
10118;18-02-2018;2;18;2018
10119;19-02-2018;2;19;2018
10120;20-02-2018;2;20;2018
10121;21-02-2018;2;21;2018
10122;22-02-2018;2;22;2018
10123;23-02-2018;2;23;2018
10124;24-02-2018;2;24;2018
10125;25-02-2018;2;25;2018
10126;26-02-2018;2;26;2018
10127;27-02-2018;2;27;2018
10128;28-02-2018;2;28;2018
10201;01-03-2018;3;1;2018
10202;02-03-2018;3;2;2018
10203;03-03-2018;3;3;2018
10204;04-03-2018;3;4;2018
10205;05-03-2018;3;5;2018
10206;06-03-2018;3;6;2018
10207;07-03-2018;3;7;2018
10208;08-03-2018;3;8;2018
10209;09-03-2018;3;9;2018
10210;10-03-2018;3;10;2018
10211;11-03-2018;3;11;2018
10212;12-03-2018;3;12;2018
10213;13-03-2018;3;13;2018
10214;14-03-2018;3;14;2018
10215;15-03-2018;3;15;2018
10216;16-03-2018;3;16;2018
10217;17-03-2018;3;17;2018
10218;18-03-2018;3;18;2018
10219;19-03-2018;3;19;2018
10220;20-03-2018;3;20;2018
10221;21-03-2018;3;21;2018
10222;22-03-2018;3;22;2018
10223;23-03-2018;3;23;2018
10224;24-03-2018;3;24;2018
10225;25-03-2018;3;25;2018
10226;26-03-2018;3;26;2018
10227;27-03-2018;3;27;2018
10228;28-03-2018;3;28;2018
10229;29-03-2018;3;29;2018
10230;30-03-2018;3;30;2018
10231;31-03-2018;3;31;2018
10301;01-04-2018;4;1;2018
10302;02-04-2018;4;2;2018
10303;03-04-2018;4;3;2018
10304;04-04-2018;4;4;2018
10305;05-04-2018;4;5;2018
10306;06-04-2018;4;6;2018
10307;07-04-2018;4;7;2018
10308;08-04-2018;4;8;2018
10309;09-04-2018;4;9;2018
10310;10-04-2018;4;10;2018
10311;11-04-2018;4;11;2018
10312;12-04-2018;4;12;2018
10313;13-04-2018;4;13;2018
10314;14-04-2018;4;14;2018
10315;15-04-2018;4;15;2018
10316;16-04-2018;4;16;2018
10317;17-04-2018;4;17;2018
10318;18-04-2018;4;18;2018
